,log_loss,accuracy,roc_auc,brier_score
LogisticRegression,0.6079696006709847,0.6865671641791045,0.758966362218757,0.20607491083871554
RandomForest,0.5674198340307126,0.6791044776119403,0.7714413009578971,0.19625895522388062
XGBoost,0.6528361335975096,0.7014925373134329,0.7834707061706394,0.22016388291855485
NeuralNetwork,0.6285865575522973,0.6716417910447762,0.7092893740253954,0.21950890348705313
Ensemble,0.5589910697769368,0.6865671641791045,0.7917130764089998,0.19198841723340526
